USDINR Curncy,Last Price
Dates,PX_LAST
1/1/2008,39.4175
39449,39.4364
39450,39.395
39451,39.3338
39454,39.2955
39455,39.275
39456,39.285
39457,39.285
39458,39.295
39461,39.2925
39462,39.265
39463,39.295
39464,39.303
39465,39.305
39468,39.555
39469,39.4665
39470,39.5805
39471,39.4557
39472,39.3645
39475,39.3845
39476,39.3811
39477,39.39
39478,39.3685
39479,39.3526
39482,39.455
39483,39.56
39484,39.52
39485,39.5409
39486,39.6265
39489,39.6964
39490,39.6672
39491,39.7725
39492,39.5975
39493,39.6779
39496,39.775
39497,39.915
39498,40.1975
39499,39.932
39500,40.05
39503,39.9665
39504,39.9085
39505,39.785
39506,39.87
39507,40.0141
39510,40.38
39511,40.31
39512,40.31
39513,40.235
39514,40.535
39517,40.4875
39518,40.46
39519,40.3313
39520,40.425
39521,40.4275
39524,40.73
39525,40.52
39526,40.4275
39527,40.435
39531,40.285
39532,40.12
39533,40.145
39534,40.095
39535,39.885
39538,40.1175
39539,39.945
39540,39.9813
39541,40.035
39542,39.955
39545,39.965
39546,40.005
39547,40
39548,39.945
39549,39.955
39552,39.875
39553,39.9675
39554,39.9575
39555,39.9225
39556,39.765
39559,39.97
39560,39.955
39561,40.0538
39562,40.1645
39563,40.13
39566,40.164
39567,40.485
39568,40.495
39569,40.57
39570,40.655
39573,40.61
39574,40.945
39575,41.365
39576,41.755
39577,41.6
39580,42.0325
39581,42.1062
39582,42.455
39583,42.705
39584,42.5213
39587,42.54
39588,42.5925
39589,42.83
39590,42.965
39591,42.69
39594,42.735
39595,42.955
39596,42.7325
39597,42.785
39598,42.4575
39601,42.4075
39602,42.615
39603,42.7787
39604,42.91
39605,42.665
39608,42.8713
39609,42.975
39610,42.865
39611,42.845
39612,42.9413
39615,42.95
39616,42.895
39617,42.9025
39618,42.9725
39619,42.925
39622,42.9712
39623,42.965
39624,42.74
39625,42.685
39626,42.88
39629,43.04
39630,43.33
39631,43.175
39632,43.3025
39633,43.155
39636,43.3
39637,43.265
39638,43.135
39639,42.9963
39640,42.87
39643,42.925
39644,43.215
39645,43.085
39646,42.82
39647,42.785
39650,42.6781
39651,42.74
39652,42.08
39653,42.13
39654,42.265
39657,42.545
39658,42.6412
39659,42.3597
39660,42.57
39661,42.3525
39664,42.487
39665,42.24
39666,42.0738
39667,42.0738
39668,42.0637
39671,42.165
39672,42.375
39673,42.65
39674,43.05
39678,43.595
39679,43.575
39680,43.71
39681,43.5285
39682,43.425
39685,43.785
39686,43.845
39687,43.75
39688,43.775
39689,43.9375
39692,44.17
39693,44.3975
39694,44.03
39695,44.3725
39696,44.665
39699,44.605
39700,44.825
39701,45.1375
39702,45.555
39703,45.715
39706,46.055
39707,46.93
39708,46.3675
39709,46.49
39710,45.83
39713,45.4537
39714,45.7425
39715,45.95
39716,46.205
39717,46.5475
39720,46.955
39722,46.61
39724,47.0625
39727,47.8075
39728,47.925
39729,48
